domain,status,affected_row_count
bluemoonmontessori.org,live,1
blueridgemontessori.com,live,1
bluffviewmontessori.org,live,2
bmch.org.au,live,1
bmel.com.au,live,1
bmmg-krefeld.de,live,1
bmontessori.org,live,1
bmpcs.org,live,1
bmpschool.co.za,live,1
bms-ingelheim.de,live,1
bms-school.nl,live,1
bms.nsw.edu.au,live,1
bms.qld.edu.au,live,5
bms.vic.edu.au,live,1
bmso-school.com,live,2
boardwalkmontessori.com,live,1
boerhaave.o2g2.nl,live,1
boiseschools.org,live,1
bonkersbeat.com,live,1
bonn.de,live,1
bostonpublicschools.org,live,1
bouldermontessori.org,live,1
bovinamontessori.com,live,1
bowmanschool.org,live,1
bozemanmontessori.com,live,1
bozemansummitschool.org,live,1
brackendalemontessori.com,live,1
brasonmontessori.ca,live,1
breakthroughmontessori.org,live,1
brickton.org,live,1
bright-child.com,live,1
brightbeginnings.ae,live,1
brighthorizons.com,live,2
brightpathkids.com,live,2
brightstarmontessori.net,live,1
brightstars.net.au,live,3
brilliantstar.org,live,1
britishoakmontessori.ae,live,1
bromleyeastcs.org,live,1
bronxvillemontessori.com,live,1
brookeside.org,live,1
brookfieldacademy.net,live,3
brooksfieldschool.org,live,2
brookviewschool.org,live,1
browardschools.com,live,4
brpsk12.org,live,1
bryanstonmontessori.co.za,live,1
brylin.co.za,live,1
bubblescreche.com,live,1
buckeyeusd.org,live,1
budamontessori.com,live,1
buffaloschools.org,live,1
bugsandbutterflies.co.za,live,1
buildingfutures.com.au,live,2
bunnyburrows.co.nz,live,1
bussumsemontessori.nl,live,1
busybees.com,live,2
busybees.edu.au,live,1
butlerschool.org,live,1
caccmont.org,live,1
cacmp.org,live,6
caedmonschool.org,live,1
calvarybythesea.org,live,1
cambridgemontessori.org,live,1
camdenhill.com,live,1
cameragal.nsw.edu.au,live,1
campus-di-monaco.de,live,1
canadianmontessorinursery.com,live,2
cantonmontessori.org,live,1
canutillo-isd.org,live,2
capalabasc.eq.edu.au,live,1
capucinemontessori.org,live,1
cardinalragonesi.it,live,1
carefreekids.co.za,live,1
caribbean-montessori-school.com,live,1
carmelmontessori.com,live,1
